x =  0.09996089 	dxcalc =  0.0004972941 	f(x) =  8.352357	dist =  1.917357
x =  0.1004582 	dxcalc =  0.0005388426 	f(x) =  6.432159	dist =  1.920198
x =  0.100997 	dxcalc =  0.0005812051 	f(x) =  4.507774	dist =  1.924385
x =  0.1015782 	dxcalc =  0.0006230139 	f(x) =  2.577618	dist =  1.930156
x =  0.1022012 	dxcalc =  0.0006624625 	f(x) =  0.63989	dist =  1.937728
x =  0.1028637 	dxcalc =  0.0006973624 	f(x) =  -1.307367	dist =  1.947257
x =  0.1035611 	dxcalc =  0.0007253138 	f(x) =  -3.26616	dist =  1.958793
x =  0.1042864 	dxcalc =  0.0007439994 	f(x) =  -5.238388	dist =  1.972228
x =  0.1050304 	dxcalc =  0.0007515696 	f(x) =  -7.225637	dist =  1.98725
x =  0.105782 	dxcalc =  0.0007470263 	f(x) =  -9.228974	dist =  2.003337
x =  0.106529 	dxcalc =  0.0007304798 	f(x) =  -11.24876	dist =  2.019791
x =  0.1072595 	dxcalc =  0.0007031704 	f(x) =  -13.28459	dist =  2.035822
x =  0.1079626 	dxcalc =  0.0006672345 	f(x) =  -15.33526	dist =  2.050671
x =  0.1086299 	dxcalc =  0.0006252939 	f(x) =  -17.39898	dist =  2.063726
x =  0.1092552 	dxcalc =  0.0005800109 	f(x) =  -19.47359	dist =  2.074602
x =  0.1098352 	dxcalc =  0.0005337365 	f(x) =  -21.55674	dist =  2.083158
x =  0.1103689 	dxcalc =  0.0004883144 	f(x) =  -23.64621	dist =  2.089467
x =  0.1108572 	dxcalc =  0.0004450332 	f(x) =  -25.73996	dist =  2.093749
x =  0.1113023 	dxcalc =  0.0004046804 	f(x) =  -27.83626	dist =  2.096304
x =  0.1117069 	dxcalc =  0.0003676456 	f(x) =  -29.93372	dist =  2.097453
x =  0.1120746 	dxcalc =  0.0003340319 	f(x) =  -32.03122	dist =  2.097503
x =  0.1124086 	dxcalc =  0.0003037535 	f(x) =  -34.12794	dist =  2.096721
x =  0.1127124 	dxcalc =  0.000276613 	f(x) =  -36.22327	dist =  2.095331
x =  0.112989 	dxcalc =  0.000252355 	f(x) =  -38.31679	dist =  2.093514
x =  0.1132413 	dxcalc =  0.000230703 	f(x) =  -40.40819	dist =  2.091409
x =  0.113472 	dxcalc =  0.0002113816 	f(x) =  -42.49732	dist =  2.089123
x =  0.1136834 	dxcalc =  0.00019413 	f(x) =  -44.58406	dist =  2.086737
x =  0.1138776 	dxcalc =  0.0001787083 	f(x) =  -46.66836	dist =  2.084309
x =  0.1140563 	dxcalc =  0.0001649002 	f(x) =  -48.75025	dist =  2.081883
x =  0.1142212 	dxcalc =  0.0001525133 	f(x) =  -50.82974	dist =  2.079488
x =  0.1143737 	dxcalc =  0.0001413781 	f(x) =  -52.90688	dist =  2.077146
x =  0.1145151 	dxcalc =  0.0001313457 	f(x) =  -54.98175	dist =  2.07487
x =  0.1146464 	dxcalc =  0.0001222862 	f(x) =  -57.05442	dist =  2.072669
x =  0.1147687 	dxcalc =  0.0001140861 	f(x) =  -59.12497	dist =  2.07055
x =  0.1148828 	dxcalc =  0.0001066466 	f(x) =  -61.19348	dist =  2.068513
x =  0.1149894 	dxcalc =  9.988165e-05 	f(x) =  -63.26004	dist =  2.06656
